student_no,province,age,gender,nationality,religion,f_Educ,father_occupation,m_Educ,mother_occupation,family_size,ordinal_position,family_monthlyIncome,no_members_income,tuition_support,school_expenses,shs_school_type,strand,grade12_cgpa,pr_verbal_language,pr_reading_compre,pr_english,pr_math,pr_non_verbal,pr_basic_cmp,pr_clerical,selected_college_score,course,total_units,institute,performance
20638372,Outside,18,F,Filipino,Roman Catholic,HS,,HS,office and clerical jobs,4,Youngest,E,None,Parents,Relatives,Public,TVL,94.0,37,52,53,16,7,16,69,43.05,BSCulinary,26,SHTM,high
20599560,Pampanga,18,F,Filipino,Roman Catholic,College Graduate,Skilled and technical jobs,College Graduate,helping and teaching occupation,5,Eldest,B,Max of 2,Parents,Parents,Private,STEM,91.5,52,73,10,31,24,53,41,42.95,Architecture,26,SEA,high
20569961,Pampanga,19,M,Filipino,Roman Catholic,,Skilled and technical jobs,,Skilled and technical jobs,4,Youngest,E,Max of 2,Parents,Parents,Private,STEM,93.01,52,91,27,92,42,92,15,66.6,CE,25,SEA,high
20579488,Pampanga,18,F,Filipino,Roman Catholic,Elementary,Skilled and technical jobs,HS,,4,Eldest,F,Max of 2,Parents,Parents,Private,ABM,96.15,37,84,53,58,62,87,76,67.15,BSBA-FinMgmt,23,SBA,high
20598298,Pampanga,19,M,Filipino,Roman Catholic,,Skilled and technical jobs,College Graduate,helping and teaching occupation,4,Eldest,B,Max of 2,Parents,Parents,Private,STEM,92.14,37,94,87,75,95,61,17,69.1,Architecture,26,SEA,high
20601180,Pampanga,19,M,Filipino,Roman Catholic,HS,mgmt. sales and entrepreneural occupations,HS,scientific and allied medical positions,3,Only Child,F,Max of 2,Parents,Parents,Private,ABM,79.12,52,19,67,67,11,87,10,43.4,BS EventMgmt,23,SHTM,mlow
20580772,Pampanga,18,F,Filipino,Roman Catholic,College Undergrad/Vocational,"artistic, musical, writing",College Graduate,,6,Youngest,D,Max of 2,Parents,Parents,Private,ABM,88.72,79,79,97,82,80,92,69,83.2,BSBA-MktgMgmt,23,SBA,medium
20570501,Pampanga,19,M,Filipino,Roman Catholic,College Undergrad/Vocational,office and clerical jobs,College Undergraduate/Vocational,,4,Eldest,E,Max of 4,Parents,Parents,Private,ABM,90.75,91,59,67,50,62,23,73,59.0,Accountancy,26,SBA,high
20600864,Pampanga,18,F,Filipino,Roman Catholic,College Undergrad/Vocational,Skilled and technical jobs,College Graduate,,3,Only Child,E,Max of 2,Parents,Parents,Private,STEM,93.63,91,94,27,58,95,77,26,69.45,CE,25,SEA,high
20602620,Outside,19,M,Filipino,Roman Catholic,HS,Skilled and technical jobs,HS,Skilled and technical jobs,8,4th,E,Max of 2,Scholarships and Grants,Parents,Private,STEM,89.5,52,67,67,67,72,83,79,68.05,BSAeronautical,25,SEA,high
20572143,Pampanga,19,F,Filipino,Iglesia Ni Cristo,College Graduate,Skilled and technical jobs,College Graduate,,4,Youngest,E,Max of 2,Parents,Parents,Private,HUMSS,90.35,79,31,27,40,4,61,49,42.65,BS EventMgmt,26,SHTM,high
20570354,Pampanga,19,F,Filipino,Roman Catholic,HS,Skilled and technical jobs,HS,mgmt. sales and entrepreneural occupations,5,Eldest,E,Max of 2,Parents,Parents,Private,ABM,91.44,37,52,53,40,32,77,53,50.4,BSTourism,23,SHTM,high
20634333,Pampanga,18,F,Filipino,Methodist,College Undergrad/Vocational,mgmt. sales and entrepreneural occupations,HS,mgmt. sales and entrepreneural occupations,7,Eldest,A,Max of 2,Parents,Parents,Public,ABM,94.0,94,37,53,50,80,53,20,52.75,Accountancy,26,SBA,high
20588343,Pampanga,19,F,Filipino,Roman Catholic,,office and clerical jobs,College Graduate,mgmt. sales and entrepreneural occupations,5,Youngest,D,Max of 2,Parents,Parents,Private,TVL,85.21,24,59,53,40,24,83,49,49.8,BSTourism,26,SHTM,high
20574764,Pampanga,19,F,Filipino,Roman Catholic,HS,helping and teaching occupation,Elementary,,6,3rd,E,Max of 2,Parents,Parents,Private,ABM,93.84,94,84,78,92,91,83,73,85.75,Accountancy,26,SBA,high
20589232,Pampanga,18,M,Filipino,Roman Catholic,,Skilled and technical jobs,,scientific and allied medical positions,8,4th,D,Max of 4,Relatives,Self,Private,TVL,88.0,87,73,40,40,52,87,10,56.1,BSCulinary,26,SHTM,high
20638822,Pampanga,18,M,Filipino,Roman Catholic,HS,Skilled and technical jobs,College Graduate,helping and teaching occupation,9,Middle,F,Max of 2,Parents,Parents,Public,STEM,86.0,7,52,78,23,24,5,29,40.85,Criminology,26,CCJEF,medium
20637382,Pampanga,18,F,Filipino,Roman Catholic,College Undergrad/Vocational,,College Undergraduate/Vocational,,5,Middle,D,Max of 2,Parents,Scholarships and Grants,Private,ABM,84.03,52,31,53,88,11,29,12,44.65,BSHRM,23,SHTM,high
20598985,Pampanga,19,F,Filipino,Roman Catholic,College Graduate,Skilled and technical jobs,College Graduate,mgmt. sales and entrepreneural occupations,5,Middle,D,Max of 2,Parents,Parents,Private,ABM,85.41,87,99,98,58,42,83,69,80.65,Accountancy,26,SBA,high
20572896,Pampanga,18,F,Filipino,Born Again Christian,College Graduate,mgmt. sales and entrepreneural occupations,College Graduate,office and clerical jobs,4,Eldest,E,Max of 4,Relatives,Parents,Private,TVL,93.68,91,73,67,82,80,77,94,79.3,BSTourism,26,SHTM,high
20584462,Pampanga,19,F,Filipino,Iglesia Ni Cristo,College Undergrad/Vocational,Skilled and technical jobs,College Undergraduate/Vocational,scientific and allied medical positions,7,4th,F,Max of 2,Parents,Parents,Private,STEM,90.11,79,79,40,67,80,69,69,70.2,Architecture,26,SEA,medium
20588027,Pampanga,19,M,Filipino,Roman Catholic,College Undergrad/Vocational,Skilled and technical jobs,College Graduate,helping and teaching occupation,7,Middle,B,Max of 2,Parents,Parents,Private,STEM,89.82,87,91,78,98,72,87,57,86.05,BSBA-MktgMgmt,23,SBA,high
20583900,Pampanga,18,F,Filipino,Baptist,College Graduate,Skilled and technical jobs,College Graduate,,5,Eldest,D,Max of 2,Parents,Parents,Private,ABM,95.5,91,91,97,98,80,94,79,91.9,Accountancy,26,SBA,high
20580412,Pampanga,18,M,Filipino,Born Again Christian,College Undergrad/Vocational,mgmt. sales and entrepreneural occupations,HS,Skilled and technical jobs,7,Middle,E,Max of 2,Parents,Parents,Private,STEM,91.11,14,73,40,67,42,83,69,56.85,ME,25,SEA,high
20609076,Pampanga,19,M,Filipino,Roman Catholic,College Graduate,mgmt. sales and entrepreneural occupations,HS,,8,5th,C,Max of 4,Parents,Parents,Public,ABM,90.44,24,73,40,82,86,61,76,65.2,BSBA-MktgMgmt,26,SBA,high
20637472,Pampanga,18,M,Filipino,Roman Catholic,HS,helping and teaching occupation,Elementary,,5,Eldest,F,None,Scholarships and Grants,Parents,Public,TVL,85.5,79,79,10,58,72,53,69,63.25,SocialStud-BSED,26,SED,medium
20576114,Pampanga,19,F,Filipino,Born Again Christian,College Graduate,mgmt. sales and entrepreneural occupations,College Graduate,office and clerical jobs,6,Eldest,D,Max of 4,Parents,Parents,Private,ABM,91.83,79,45,53,16,80,77,65,51.5,BusMgt,23,SBA,high
20607682,Pampanga,19,F,Filipino,Roman Catholic,College Graduate,Skilled and technical jobs,College Graduate,,5,Middle,E,Max of 2,Parents,Parents,Private,ABM,89.78,79,67,87,50,52,61,57,65.2,Accountancy,26,SBA,high
20630395,Pampanga,19,M,Filipino,Born Again Christian,Post Graduate,helping and teaching occupation,College Graduate,helping and teaching occupation,4,Eldest,D,Max of 2,Parents,Parents,Private,STEM,80.22,97,91,97,75,42,29,12,69.5,Comp. Engg.,25,SEA,mlow
20610742,Pampanga,19,F,Filipino,Roman Catholic,,Skilled and technical jobs,,,7,4th,C,Max of 4,Relatives,Relatives,Private,TVL,92.89,87,91,67,11,42,69,20,62.3,English-BSED,26,SED,high
